Ville,Type,Surface,Nbr de pieces,Nbr de chambres,Nbr de salle de bains,DPE,Prix
morangis,Maison,160,7,4,2,C,380000
mantes la jolie,Appartement,30,1,1,1,E,134500
la ville du bois,Maison,122,5,3,1,D,270000
limeil brevannes,Maison,121,5,3,1,D,455000
morsang sur orge,Maison,118,6,3,2,D,385000
bussy st georges,Appartement,28,2,1,-,D,165300
paris 10,Appartement,19,1,1,-,F,212000
neuilly sur marne,Appartement,90,4,3,1,C,275000
la garenne colombes,Appartement,77,3,2,1,F,500000
mennecy,Maison,161,7,5,2,D,529000
sartrouville,Maison,125,6,4,1,E,595000
paris 14,Appartement,31,2,1,-,-,393400
paris 8,Appartement,40,2,1,-,-,550000
ris orangis,Appartement,101,4,3,1,D,230000
paris 15,Maison,169,9,5,1,C,268000
stains,Appartement,64,3,2,1,-,170000
paris 13,Appartement,20,1,1,1,F,195000
le chesnay,Appartement,44,1,1,1,D,233000
paris 17,Appartement,50,2,1,-,E,420000
eragny,Maison,120,7,5,1,D,489000
claye souilly,Maison,93,4,3,1,-,309000
hardricourt,Maison,143,6,5,-,D,320000
montmorency,Maison,60,3,2,1,-,285000
argenteuil,Appartement,70,3,2,1,E,160000
paris 1,Appartement,52,2,1,1,-,140000
rampillon,Maison,138,5,3,1,C,220000
corbeil essonnes,Maison,93,5,4,1,C,239000
etrechy,Maison,83,5,4,-,E,385000
paris 18,Appartement,71,3,2,1,C,575000
rueil malmaison,Appartement,57,3,2,1,-,329000
paris 1,Appartement,1,3,2,-,-,100000
neuilly sur seine,Appartement,60,2,1,-,D,689000
st denis,Appartement,56,3,2,1,E,230000
bondy,Appartement,26,1,-,1,E,129900
paris 15,Appartement,75,3,2,1,D,475000
st michel sur orge,Appartement,82,3,2,1,C,168000
la celle st cloud,Appartement,85,5,3,1,-,370000
noisy le grand,Maison,180,6,5,-,D,525000
boulogne billancourt,Appartement,90,4,3,1,E,700000
paris 10,Appartement,13,1,1,-,E,149000
villebon sur yvette,Appartement,16,1,1,-,E,80000
paris 15,Appartement,30,1,1,1,-,270000
joinville le pont,Appartement,67,3,1,1,-,650000
paris 10,Appartement,13,1,1,-,D,149000
chaumontel,Maison,101,6,4,-,D,379000
les mureaux,Appartement,84,5,3,-,C,165000
rosny sous bois,Appartement,68,3,2,1,E,237900
longjumeau,Appartement,74,4,3,-,D,199900
le chesnay,Maison,150,7,5,1,C,1320000
colombes,Appartement,38,2,1,1,-,220000
velizy villacoublay,Appartement,46,2,1,-,B,259000
ris orangis,Appartement,72,3,2,1,D,143000
le pre st gervais,Appartement,18,1,-,-,E,155000
ormesson sur marne,Appartement,79,4,2,1,D,292000
rosny sous bois,Appartement,40,2,1,1,-,249000
donnemarie dontilly,Maison,120,5,4,1,E,151000
donnemarie dontilly,Maison,73,3,2,1,C,131000
franconville,Maison,106,5,4,1,F,410000
paris 9,Appartement,95,4,2,1,D,1315000
le blanc mesnil,Maison,141,6,4,1,C,460000
ste genevieve des bois,Maison,82,4,3,1,B,310000
mennecy,Maison,110,5,4,1,E,398000
etiolles,Appartement,55,2,1,-,D,216000
paris 4,Appartement,31,1,-,1,F,440000
villeneuve st georges,Appartement,55,2,1,-,C,130000
taverny,Maison,81,5,3,1,-,425000
l hay les roses,Maison,156,7,5,1,D,599000
st maur des fosses,Appartement,62,3,2,1,E,365000
paris 6,Appartement,90,4,1,1,D,1600000
conflans ste honorine,Maison,137,6,4,2,A,515000
lardy,Maison,82,5,3,1,C,335000
rambouillet,Appartement,32,2,1,1,F,89700
rambouillet,Appartement,48,1,1,1,E,130000
rambouillet,Appartement,30,2,1,1,E,150000
paris 1,Appartement,19,1,1,1,F,270000
paris 15,Appartement,50,2,1,-,F,595000
varennes sur seine,Maison,82,5,3,1,-,225000
colombes,Maison,90,5,3,1,F,395000
paris 15,Appartement,33,1,1,1,E,334900
paris 12,Appartement,25,1,1,1,E,235000
nanterre,Appartement,69,3,2,-,D,360000
champigny sur marne,Appartement,74,4,3,1,C,230000
condecourt,Maison,140,5,4,1,F,445000
paris 13,Appartement,28,2,1,-,E,380000
nemours,Maison,250,6,4,1,D,349000
emerainville,Appartement,32,1,-,1,-,165000
quincy voisins,Maison,190,7,5,1,D,380000
paris 20,Appartement,67,3,2,-,D,635000
trilport,Maison,150,6,4,1,D,424000
le pecq,Appartement,56,2,1,-,E,299500
paris 10,Appartement,80,4,3,1,-,65000
paris 10,Appartement,80,4,3,1,-,65000
marly le roi,Appartement,48,2,1,1,-,229000
montevrain,Appartement,76,3,2,1,-,380000
nanterre,Appartement,69,3,2,2,-,375000
sailly,Maison,105,5,3,1,-,333500
paris 4,Appartement,180,4,2,3,-,3500000
paris 10,Maison,350,2,4,2,-,570000
villejuif,Appartement,67,3,2,1,-,365000
paris 1,Maison,104,10,3,1,-,250000
paris 1,Appartement,110,8,3,2,-,279000
paris 1,Maison,141,8,3,3,-,349000
paris 1,Maison,284,10,4,4,-,780000
paris 1,Maison,179,6,3,3,-,565000
paris 1,Maison,358,8,4,3,-,635000
paris 1,Maison,322,10,4,4,-,690000
eragny,Maison,105,5,4,2,-,326000
paris 1,Maison,285,10,4,2,-,780000
paris 10,Appartement,34,2,1,1,-,355000
soindres,Appartement,40,2,1,1,-,135000
paris 13,Appartement,45,2,1,1,-,525000
vaux le penil,Appartement,58,3,2,1,-,166000
saclay,Appartement,65,5,2,1,-,300000
paris 11,Appartement,15,4,1,1,-,129000
paris 19,Appartement,74,4,3,1,-,720000
